Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 32.02      0.24     0.24 276404750     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::operator[](unsigned long)
 29.35      0.46     0.22        1   220.13   670.41  image_analizer::cook()
 20.01      0.61     0.15 122794450     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  8.00      0.67     0.06 276405152     0.00     0.00  data::GetRawData()
  8.00      0.73     0.06      250     0.24     0.24  __gnu_cxx::__enable_if<std::__is_scalar<unsigned int>::__value, void>::__type std::__fill_a1<unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int const&)
  2.67      0.75     0.02                             data::~data()
  0.00      0.75     0.00     1850     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.75     0.00     1450     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::_M_max_size() const
  0.00      0.75     0.00     1200     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      0.75     0.00     1154     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      0.75     0.00     1062     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.75     0.00     1000     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::max_size() const
  0.00      0.75     0.00     1000     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::max_size() const
  0.00      0.75     0.00     1000     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::max_size(std::allocator<unsigned int> const&)
  0.00      0.75     0.00     1000     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&)
  0.00      0.75     0.00      950     0.00     0.00  unsigned int* std::__niter_base<unsigned int*>(unsigned int*)
  0.00      0.75     0.00      854     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.75     0.00      762     0.00     0.00  data::frame_data* std::__addressof<data::frame_data>(data::frame_data&)
  0.00      0.75     0.00      704     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate(unsigned int*, unsigned long)
  0.00      0.75     0.00      654     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator(__gnu_cxx::new_allocator<unsigned int> const&)
  0.00      0.75     0.00      654     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      0.75     0.00      654     0.00     0.00  std::allocator<unsigned int>::allocator(std::allocator<unsigned int> const&)
  0.00      0.75     0.00      654     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      0.75     0.00      606     0.00     0.00  data::GetCookedData()
  0.00      0.75     0.00      508     0.00     0.00  std::remove_reference<std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl&>(std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl&)
  0.00      0.75     0.00      508     0.00     0.00  data::frame_data&& std::forward<data::frame_data>(std::remove_reference<data::frame_data>::type&)
  0.00      0.75     0.00      454     0.00     0.00  data::frame_data::~frame_data()
  0.00      0.75     0.00      454     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      0.75     0.00      454     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::~_Vector_impl()
  0.00      0.75     0.00      454     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::~_Vector_base()
  0.00      0.75     0.00      454     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::~vector()
  0.00      0.75     0.00      454     0.00     0.00  void std::_Destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      0.75     0.00      454     0.00     0.00  void std::_Destroy<unsigned int*, unsigned int>(unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      0.75     0.00      450     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::allocate(unsigned long, void const*)
  0.00      0.75     0.00      450     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_allocate(unsigned long)
  0.00      0.75     0.00      450     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::allocate(std::allocator<unsigned int>&, unsigned long)
  0.00      0.75     0.00      416     0.00     0.00  data::frame_data const& std::forward<data::frame_data const&>(std::remove_reference<data::frame_data const&>::type&)
